Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
1,8,Beggin',"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']"
2,3,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,['australian hip hop']
1,11,good 4 u,"40,162,559",Olivia Rodrigo,6266514,['pop']
3,5,Bad Habits,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']"
5,1,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']"
1,18,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']"
3,16,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']"
2,10,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']"
3,8,Yonaguni,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']"
8,10,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']"
4,43,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']"
9,9,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']"
5,3,Permission to Dance,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']"
1,19,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']"
2,10,Butter,"19,985,713",BTS,37106176,"['k-pop', 'k-pop boy group']"
7,10,traitor,"19,480,679",Olivia Rodrigo,6266514,['pop']
3,17,deja vu,"18,571,755",Olivia Rodrigo,6266514,['pop']
5,14,Save Your Tears (with Ariana Grande) (Remix),"18,053,141",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']"
14,5,AM Remix,"17,617,965","Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']"
20,7,Need To Know,"16,908,917",Doja Cat,8640063,"['dance pop', 'pop']"
19,3,Volando - Remix,"16,606,925","Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']"
22,5,Ain't Shit,"16,126,897",Doja Cat,8640063,"['dance pop', 'pop']"
1,29,drivers license,"15,684,978",Olivia Rodrigo,6266514,['pop']
24,31,Heat Waves,"15,089,184",Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']"
1,83,Blinding Lights,"15,011,809",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']"
12,10,happier,"14,849,078",Olivia Rodrigo,6266514,['pop']
27,3,Pepas,"14,809,458",Farruko,10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
18,3,Motley Crew,"14,329,162",Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']"
